t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,theta_power_rec,smr_power_rec,beta1_power_rec
38.8754,1785919055.292345,B,3,0.6296,0.6733,0,0.2270,0.9859,0.5204
38.9542,1785919055.371056,B,3,0.6567,0.7200,0,0.2098,1.0143,0.5259
39.0312,1785919055.448070,B,3,0.6477,0.6267,0,0.2302,0.9389,0.4810
39.1075,1785919055.524401,B,3,0.6314,0.5933,0,0.2445,0.9264,0.4959
39.1855,1785919055.602636,B,3,0.6310,0.6300,0,0.2344,0.9535,0.5024
39.2645,1785919055.681368,B,3,0.6147,0.5767,0,0.2476,0.8972,0.4823
39.3435,1785919055.760404,B,3,0.6253,0.6500,0,0.2259,0.9527,0.5016
39.4229,1785919055.839814,B,3,0.6277,0.6333,0,0.2295,0.9453,0.4906
39.5019,1785919055.918776,B,3,0.6384,0.6633,0,0.2316,0.9882,0.5321
39.5809,1785919055.997809,B,3,0.6559,0.6967,0,0.2192,1.0003,0.5174
39.6601,1785919056.077024,B,3,0.6551,0.6533,0,0.2256,0.9745,0.4978
39.7389,1785919056.155784,B,3,0.6656,0.6900,0,0.2313,1.0106,0.5373
39.8175,1785919056.234493,B,3,0.6729,0.6900,0,0.2237,0.9949,0.5255
39.8961,1785919056.313051,B,3,0.6770,0.6867,0,0.2234,0.9917,0.5226
39.9751,1785919056.391994,B,3,0.6479,0.5800,0,0.2373,0.8910,0.4791
40.0534,1785919056.470271,B,3,0.6955,0.8067,0,0.1932,1.1075,0.5741
40.1307,1785919056.547663,B,3,0.7119,0.7500,1,0.2032,1.0316,0.5381
40.2072,1785919056.624114,B,3,0.7403,0.8067,1,0.1916,1.1073,0.5747
40.2863,1785919056.703159,B,3,0.7182,0.6667,1,0.2246,0.9835,0.5132
40.3490,1785919056.765868,B,3,0.6908,0.6267,0,0.2320,0.9681,0.5064
40.4284,1785919056.845282,B,3,0.6695,0.6200,0,0.2304,0.9486,0.4937
40.5083,1785919056.925228,B,3,0.6127,0.4800,0,0.2620,0.8203,0.4329
40.5864,1785919057.003414,B,3,0.6379,0.6967,0,0.2210,0.9960,0.5261
40.6642,1785919057.081126,B,3,0.6135,0.5567,0,0.2567,0.8751,0.4749
40.7441,1785919057.161042,B,3,0.5705,0.4700,0,0.2650,0.8038,0.4289
40.8211,1785919057.238082,B,3,0.5683,0.5633,0,0.2524,0.8702,0.4626
40.8997,1785919057.316559,B,3,0.5718,0.5800,0,0.2468,0.8798,0.4689
40.9786,1785919057.395549,B,3,0.6203,0.7333,0,0.2119,1.0306,0.5349
41.0556,1785919057.472532,B,3,0.6062,0.5733,0,0.2526,0.8764,0.4775
41.1357,1785919057.552550,B,3,0.5543,0.4333,0,0.2768,0.7955,0.4262
41.2144,1785919057.631343,B,3,0.5520,0.5467,0,0.2552,0.8310,0.4551
41.2939,1785919057.710853,B,3,0.5314,0.4833,0,0.2655,0.8228,0.4311
41.3739,1785919057.790900,B,3,0.4830,0.3700,0,0.2925,0.7646,0.4264
41.4519,1785919057.868846,B,3,0.4421,0.3467,0,0.2982,0.7487,0.4104
41.5320,1785919057.948860,B,3,0.4595,0.5000,0,0.2676,0.8473,0.4461
41.6096,1785919058.026522,B,3,0.4576,0.4533,0,0.2764,0.8117,0.4323
41.6876,1785919058.104524,B,3,0.4383,0.3933,0,0.2854,0.7741,0.4111
41.7666,1785919058.183525,B,3,0.3798,0.2433,0,0.3219,0.6854,0.3800
41.8436,1785919058.260514,B,3,0.3959,0.4333,0,0.2770,0.7909,0.4145
41.9216,1785919058.338503,B,3,0.3531,0.2533,0,0.3170,0.6990,0.3676
41.9996,1785919058.416535,B,3,0.2872,0.1333,0,0.3699,0.5771,0.3253
42.0769,1785919058.493801,B,3,0.2810,0.2667,0,0.3132,0.6812,0.3815
42.1561,1785919058.573023,B,3,0.2567,0.2000,0,0.3371,0.6533,0.3558
42.2357,1785919058.652602,B,3,0.2387,0.1967,0,0.3354,0.6377,0.3504
42.3158,1785919058.732839,B,3,0.2171,0.1667,0,0.3482,0.6136,0.3479
42.3949,1785919058.811785,B,3,0.1920,0.1333,0,0.3691,0.5611,0.3297
